DNU,Place Name,Syriaca-Name,Check with author,Syriaca-URI,ID_Number,Pleiades,Geonames,Wikipedia,Viaf,DARE,geonames.nga.mil,DAI,Iranica,Other,Place_Type_from_working-data,DNU,"Syriaca,DD",DNU,Draft_Coordinates_DMS,DNU,Draft_Coordinates_DD,Apprx,Source,UniqueID_from_working-data,OtherID_from_working-data,GazetterNote_from_working-data,Notes_from_working-data,Date Range,Requested-by_from_working-data,RelatedChapter_from_working-data,Scope,Existence_Date,DNU,Map#
Old100,Qara,,,http://syriaca.org/place/161,Old100,,,,,,,,,,Settlement,Old100,"34.16826385,36.75343335",Old100,,Old100,,,,,,,Both the Monastery of St. James the Persian/St. James Intercisus on the edge of the town and the parish church of Sts. Sergius and Bacchus have remnants of medieval fresco cycles even though some scenes are now in the National Museum in Damascus and the nearby Museum of Deir Atiyeh.,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old100,2
Old101,Resafa,,,http://syriaca.org/place/165,Old101,,,,,,,,,,Settlement,Old101,"35.616667,38.75",Old101,,Old101,,,,,,,,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old101,2
Old102,Homs,,,http://syriaca.org/place/215,Old102,,,,,,,,,,Settlement,Old102,"34.730833,36.709444",Old102,,Old102,,,,,,,"The Church of Mar Elian is believed to date back to the C5th and, although largely rebuilt after a catastrophic fire, elements of a medieval fresco cycle remain in the small side apse around the late antique sarcophagus of the saint.",5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old102,2
Old103,Sadad,,,http://syriaca.org/place/276,Old103,,,"https://en.wikipedia.org/wiki/Sadad,_Syria",,,,,,,Settlement,Old103,,Old103,,Old103,"34.313251,36.925253",,http://geonames.nga.mil,-3506738,,,,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old103,2
Old104,Maʿarat Saidnaya,,,http://syriaca.org/place/281,Old104,,,https://en.wikipedia.org/wiki/Maarat_Saidnaya,,,,,,,Settlement,Old104,,Old104,,Old104,"33.67204,36.3852",,http://geonames.nga.mil,-3499787,,,,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old104,2
Old105,Sumatar Harabesi,,,http://syriaca.org/place/643,Old105,,,,,,,,,,Settlement,Old105,,Old105,,Old105,"36.95722,39.34611",,http://gazetteer.dainst.org/place/2108084,,,,,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old105,2
Old106,Edessa,,,http://syriaca.org/place/78,Old106,,,,,,,,,,Settlement,Old106,"37.15,38.8",Old106,,Old106,,,,,,,,5th-C18th,Emma Loosley,The Material Culture of the Syrian Peoples in Late Antiquity,Syria and Mediterranean Coast,300-1000,Old106,2
Old107,Bēth-‘Abē,,,http://syriaca.org/place/223,Old107,,,,,,,,,,Monastery,Old107,,Old107,,Old107,"36.733222,43.879639",Y,http://geonames.nga.mil/namesviewer/,-4381015,‘Aqrah,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old107,"1,2"
Old108,Great Monastery (of Abraham of Kashkar),,,http://syriaca.org/place/384,Old108,,,,,,,,,,Monastery,Old108,"37.211579,41.473406",Old108,,Old108,,,,,,,this monastery was founded by Abraham of Kashkar (6th c.) on mount Izla.,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old108,"1,2"
Old109,Mar Saba,,,,Old109,http://pleiades.stoa.org/places/687969,,,,,,,,,Monastery,Old109,#N/A,Old109,,Old109,"31.704703,35.331699",,http://pleiades.stoa.org/places/687969,,,,A very famous monastery in the Judaean desert.,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old109,"1,2"
Old110,Mār Mattai,,,http://syriaca.org/place/227,Old110,,,,,,,,,,Monastery,Old110,"36.491605,43.392187",Old110,,Old110,,,,,,,"N-E ofNineveh, and at the S-E. of Bēth-‘Abē.",4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old110,"1,2"
Old111,Qarṭamīn,,,http://syriaca.org/place/226,Old111,,,,,,,,,,Monastery,Old111,"37.321778,41.5385",Old111,,Old111,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old111,"1,2"
Old112,Qennešrin,,,http://syriaca.org/place/230,Old112,,,,,,,,,,Monastery,Old112,"36.827426,38.034807",Old112,,Old112,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old112,"1,2"
Old113,Rabban Bar ‘Edta,,,http://syriaca.org/place/167,Old113,,,,,,,,,,Monastery,Old113,,Old113,,Old113,"36.7322117,43.6526621",Y,W-4,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old113,"1,2"
Old114,Rabban-Šabuhr,,,http://syriaca.org/place/619,Old114,,,,,,,,,,Monastery,Old114,,Old114,,Old114,"32.049999,48.849999",Y,W-4,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old114,"1,2"
Old115,Tell ‘Ada,,,http://syriaca.org/place/233,Old115,,,,,,,,,,Monastery,Old115,,Old115,,Old115,"36.255349,36.848848",Y,http://pleiades.stoa.org/places/658614,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old115,"1,2"
Old116,mount Izla,,,http://syriaca.org/place/100,Old116,,,,,,,,,,Mountain,Old116,"37.333333,41.166667",Old116,,Old116,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old116,"1,2"
Old117,Tur ‘Abdin,,,http://syriaca.org/place/221,Old117,,,,,,,,,,Mountain,Old117,"37.5,41.5",Old117,,Old117,,,,,,"URL goes to Region, not mountain",,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old117,"1,2"
Old118,Woundrous Mountain,,,,Old118,http://pleiades.stoa.org/places/658607,,,,,,,,,Mountain,Old118,#N/A,Old118,,Old118,"36.091405,36.03549",,http://pleiades.stoa.org/places/658607,,https://gazetteer.dainst.org/app/#!/show/2043071,,near Antioch,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old118,"1,2"
Old119,Sinjar,,,http://syriaca.org/place/524,Old119,,,,,,,,,,Mountain,Old119,"36.354311,41.7171985",Old119,,Old119,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old119,"1,2"
Old120,Judean desert,,,,Old120,,,,,,,,,,Region,Old120,#N/A,Old120,,Old120,"31.704703,35.331699",Y,,,http://www.oxfordreference.com/view/10.1093/acref/9780195065121.001.0001/acref-9780195065121-e-570,,near Jerusalem,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old120,"1,2"
Old121,Adiabene,,,http://syriaca.org/place/993,Old121,http://pleiades.stoa.org/places/893935,,,,,,,,,Region,Old121,"36.191265,44.00924",Old121,,Old121,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old121,"1,2"
Old122,Arzanene,,,http://syriaca.org/place/673,Old122,http://pleiades.stoa.org/places/874367,,,,,,,,,Region,Old122,"38.5,41.5",Old122,,Old122,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old122,"1,2"
Old123,Beth Aramaye,,,http://syriaca.org/place/717,Old123,http://pleiades.stoa.org/places/893958,,,,,,,,,Region,Old123,"32.5,44.5",Old123,,Old123,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old123,"1,2"
Old124,BĒth-Arabāyē,,,http://syriaca.org/place/710,Old124,http://pleiades.stoa.org/places/874340,,,,,,,,,Region,Old124,"36.5,41.5",Old124,,Old124,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old124,"1,2"
Old125,BĒth-Garmai,,,http://syriaca.org/place/33,Old125,http://pleiades.stoa.org/places/893999,,,,,,,,,Region,Old125,"35.5,44.5",Old125,,Old125,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old125,"1,2"
Old126,Cyrrestica,,,,Old126,http://pleiades.stoa.org/places/658445,,,,,,,,,Region,Old126,#N/A,Old126,,Old126,"36.75,36.75",,http://pleiades.stoa.org/places/658445,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old126,"1,2"
Old127,Egypt,,,http://syriaca.org/place/715,Old127,,,,,,,,,,Region,Old127,,Old127,,Old127,"27.7796202493,30.8035806072",Y,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old127,"1,2"
Old128,Kellia,,,,Old128,http://pleiades.stoa.org/places/727141,,,,,,,,,Region,Old128,#N/A,Old128,,Old128,"30.368868,30.776003",Y,http://pleiades.stoa.org/places/727141,,http://egyptology.yale.edu/expeditions/current-expeditions/yale-monastic-archaeology-project-north-wadi-al-natrun/kellia-and-pherme,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old128,"1,2"
Old129,Mesopotamia,,,http://syriaca.org/place/1452,Old129,http://pleiades.stoa.org/places/874602,,,,,,,,,Region,Old129,"37.5,39.5",Old129,,Old129,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old129,"1,2"
Old130,Osrhoene,,,http://syriaca.org/place/145,Old130,http://pleiades.stoa.org/places/658561,,,,,,,,,Region,Old130,,Old130,,Old130,"37.25,38.25",,http://pleiades.stoa.org/places/658561,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old130,"1,2"
Old131,Fars,,,http://syriaca.org/place/526,Old131,http://pleiades.stoa.org/places/922698,,,,,,,,,Region,Old131,,Old131,,Old131,"30.5,51.5",,http://pleiades.stoa.org/places/922698,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old131,"1,2"
Old132,Scete,,,http://syriaca.org/place/289,Old132,,,,,,,,,,Region,Old132,"30.75,30.25",Old132,,Old132,,,dare.ht.lu.se/places/21026,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old132,"1,2"
Old133,Susiana,,y,http://syriaca.org/place/34,Old133,http://pleiades.stoa.org/places/912843,,,,,,,,,Region,Old133,"31.5,48.5",Old133,,Old133,,,,,,Does this need its own entry/label?,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old133,"1,2"
Old134,Syria,,,http://syriaca.org/place/486,Old134,http://pleiades.stoa.org/places/1306,,,,,,,,,Region,Old134,,Old134,,Old134,"37.5,37.5",,http://pleiades.stoa.org/places/1306,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old134,"1,2"
Old135,Euphrate,,,http://syriaca.org/place/82,Old135,http://pleiades.stoa.org/places/912849,,,,,,,,,River,Old135,,Old135,,Old135,"33.8217336333,42.2780920167",y,http://pleiades.stoa.org/places/912849,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old135,"1,2"
Old136,Great Zab,,,http://syriaca.org/place/191,Old136,http://pleiades.stoa.org/places/894183,,,,,,,,,River,Old136,,Old136,,Old136,"33.8217336333,42.2780920167",y,http://pleiades.stoa.org/places/894183,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old136,"1,2"
Old137,Little Zab,,,http://syriaca.org/place/121,Old137,http://pleiades.stoa.org/places/894184,,,,,,,,,River,Old137,"35.8572581,44.7915335",Old137,,Old137,,y,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old137,"1,2"
Old138,Tigris,,,http://syriaca.org/place/202,Old138,http://pleiades.stoa.org/places/912964,,,,,,,,,River,Old138,,Old138,,Old138,"34.3546287222,44.9576981074",y,http://pleiades.stoa.org/places/912964,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old138,"1,2"
Old139,Amida,,,http://syriaca.org/place/8,Old139,http://pleiades.stoa.org/places/874298,,,,,,,,,Settlement,Old139,"37.981944,40.210556",Old139,,Old139,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old139,"1,2"
Old140,Antioch,,,http://syriaca.org/place/10,Old140,http://pleiades.stoa.org/places/658381,,,,,,,,,Settlement,Old140,"36.2,36.15",Old140,,Old140,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old140,"1,2"
Old141,Arbela,,,http://syriaca.org/place/13,Old141,http://pleiades.stoa.org/places/874341,,,,,,,,,Settlement,Old141,"36.191111,44.009167",Old141,,Old141,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old141,"1,2"
Old142,Arzon,,Y,http://syriaca.org/place/285,Old142,http://pleiades.stoa.org/places/874421,,,,,,,,,Settlement,Old142,,Old142,,Old142,"38.0262,41.48434,",,imperium.ahlfeldt.se/places/34734,https://books.google.com/books?id=Na1EBAAAQBAJ&pg=PA400&lpg=PA400&dq=Arzan+Turkey&source=bl&ots=MDqEMMxpb3&sig=xVyg8lVgFMOonCVpbHADL3VQCFQ&hl=en&sa=X&ved=0ahUKEwjKm-TKy9_NAhXDTSYKHVBkClAQ6AEIQjAF#v=onepage&q=Arzan&f=false,https://books.google.com/books?id=loXWCgAAQBAJ&pg=PA124&lpg=PA124&dq=Golamasya&source=bl&ots=m57i9q9JOa&sig=CarnsnMbMvfx2ADoKk9IH54ZSLU&hl=en&sa=X&ved=0ahUKEwjTkcvI49_NAhUDYyYKHex7AA8Q6AEIPTAF#v=onepage&q=Golamasya&f=false,,http://www.brillonline.nl/entries/encyclopaedia-of-islam-2/arzan-SIM_0749?s.num=31&s.rows=50&s.au=%22Frye%2C+R.N.%22&s.start=0,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old142,"1,2"
Old143,Bazyan,,,,Old143,,,,,,,,,,Settlement,Old143,#N/A,Old143,,Old143,"35.630633,44.978567",,http://geonames.nga.mil/namesgaz/gnsquicksearch.asp,11368260,Darbandī Bāzyān,,"in Kurdistan, in BĒth-Garmai.",4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old143,"1,2"
Old144,Bēth-Lapaṭ,,,http://syriaca.org/place/35,Old144,http://pleiades.stoa.org/places/912873,,,,,,,,,Settlement,Old144,"32.283618,48.516471",Old144,,Old144,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old144,"1,2"
Old145,Ctesiphon,,y,http://syriaca.org/place/58,Old145,http://pleiades.stoa.org/places/893976,,,,,,,,,Settlement,Old145,"33.09361,44.58056",Old145,,Old145,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old145,"1,2"
Old146,Damascus,,,http://syriaca.org/place/66,Old146,http://pleiades.stoa.org/places/678106,,,,,,,,,Settlement,Old146,"33.513,36.292",Old146,,Old146,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old146,"1,2"
Old147,Edessa,,,http://syriaca.org/place/78,Old147,http://pleiades.stoa.org/places/658457,,,,,,,,,Settlement,Old147,"37.15,38.8",Old147,,Old147,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old147,"1,2"
Old148,Jerusalem,,,http://syriaca.org/place/104,Old148,http://pleiades.stoa.org/places/687928,,,,,,,,,Settlement,Old148,"31.78333,35.21667",Old148,,Old148,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old148,"1,2"
Old149,Karkā d-Bēth Slokh,,,http://syriaca.org/place/108,Old149,http://pleiades.stoa.org/places/893941,,,,,,,,,Settlement,Old149,"35.468099,44.3953",Old149,,Old149,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old149,"1,2"
Old150,Kaškar,,,http://syriaca.org/place/111,Old150,http://pleiades.stoa.org/places/912880,,,,,,,,,Settlement,Old150,,Old150,,Old150,"32.18618,46.29969",,http://dare.ht.lu.se/places/25148,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old150,"1,2"
Old151,Khārg island,,,,Old151,http://pleiades.stoa.org/places/912881,,,,,,,,,Settlement,Old151,#N/A,Old151,,Old151,"29.230338,50.30604",,http://pleiades.stoa.org/places/912881,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old151,"1,2"
Old152,Marga,,y,http://syriaca.org/place/457,Old152,,,,,,,,,,Settlement,Old152,#N/A,Old152,,Old152,,,,,,Needswork,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old152,"1,2"
Old153,Mosul,,,http://syriaca.org/place/139,Old153,http://pleiades.stoa.org/places/874609,,,,,,,,,Settlement,Old153,"36.366667,43.116667",Old153,,Old153,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old153,"1,2"
Old154,Nineveh,,,http://syriaca.org/place/144,Old154,http://pleiades.stoa.org/places/874621,,,,,,,,,Settlement,Old154,"36.35944,43.15278",Old154,,Old154,,,,,,list with Mosul?,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old154,"1,2"
Old155,Nisibis,,,http://syriaca.org/place/142,Old155,http://pleiades.stoa.org/places/874623,,,,,,,,,Settlement,Old155,"37.06667,41.21667",Old155,,Old155,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old155,"1,2"
Old156,Qalat Sem‘an,,,http://syriaca.org/place/635,Old156,,,,,,,,,,Settlement,Old156,"36.334167,36.843889",Old156,,Old156,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old156,"1,2"
Old157,Seleucia,,y,http://syriaca.org/place/182,Old157,http://pleiades.stoa.org/places/894178,,,,,,,,,Settlement,Old157,"33.094444,44.522222",Old157,,Old157,,,,,,With ctesiphon,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old157,"1,2"
Old158,Susa,,,http://syriaca.org/place/415,Old158,http://pleiades.stoa.org/places/912936,,,,,,,,,Settlement,Old158,"32.1887935,48.2537285",Old158,,Old158,,,,,,List with Susiana?,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old158,"1,2"
Old159,Šuštar,,,,Old159,http://pleiades.stoa.org/places/912941,,,,,,,,,Settlement,Old159,#N/A,Old159,,Old159,"32.049999,48.849999",,http://pleiades.stoa.org/places/912941,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1000,Old159,"1,2"
Old160,Zeugma,,,http://syriaca.org/place/209,Old160,http://pleiades.stoa.org/places/658636,,,,,,,,,Settlement,Old160,"37.05833,37.86583",Old160,,Old160,,,,,,,,4th-9th c,Florence JULLIEN,Forms of Religious Life and Syriac Monasticism,Syria and Mesopotamia,300-1053,Old160,"1,2"
Old161,Barwari Bala,,Final,http://syriaca.org/place/254,Old161,,,,,,,,,,Region,Old161,,Old161,"37° 15' 22'' N, 43° 33' 56'' E",Old161,"37.2561093,43.548046",,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old161,3
Old162,Baz,,Final,http://syriaca.org/place/734,Old162,,,,,,,,,,Region,Old162,,Old162,,Old162,,,,Wilmshurst Map,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old162,3
Old163,Bohtan,,Final,http://syriaca.org/place/583,Old163,,,,,,,,,,Region,Old163,,Old163,,Old163,,,,Wilmshurst Map,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old163,3
Old164,Cudi Daği,,Final,,Old164,,,,,,,,,,Region,Old164,#N/A,Old164,N 36° 57' 32'' E 38° 51' 2'',Old164,,,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old164,3
Old165,Jilu,,Final,http://syriaca.org/place/759,Old165,,,,,,,,,,Region,Old165,,Old165,,Old165,,,,Wilmshurst Map,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old165,3
Old166,Lower Ṭiyare,,Final,,Old166,,,,,,,,,,Region,Old166,#N/A,Old166,"37°21'23.4""N 43°25'28.2""E",Old166,,,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old166,3
Old167,Salamas,,Final,http://syriaca.org/place/177,Old167,,,,,,,,,,Region,Old167,"38.2,44.766667",Old167,,Old167,"38.2,44.766667",,,,,Salamas is not listed as a primary or secondary spelling,"Use the spelling Salamas, not Salmas",modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old167,3
Old168,Šamməsdin,,Final,,Old168,,,,,,,,,,Region,Old168,#N/A,Old168,,Old168,"37.250663,44.655175",,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old168,3
Old169,Tergawar,,Final,,Old169,,,,,,,,,,Region,Old169,#N/A,Old169,"37.645770, 44.651227",Old169,,,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old169,3
Old170,Tur Abdin,,Final,http://syriaca.org/place/221,Old170,,,,,,,,,,Region,Old170,"37.5,41.5",Old170,,Old170,"37.5,41.5",,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old170,3
Old171,Txuma,,Final,http://syriaca.org/place/251,Old171,,,,,,,,,,Region,Old171,,Old171,,Old171,,,,Wilmshurst Map,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old171,3
Old172,Tyare,,Final,http://syriaca.org/place/252,Old172,,,,,,,,,,Region,Old172,,Old172,,Old172,,,,Not sure?,,Tyare is the secondary spelling,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old172,3
Old173,Upper Ṭiyare,,Final,,Old173,,,,,,,,,,Region,Old173,#N/A,Old173,"37°21'23.4""N 43°25'28.2""E",Old173,,,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old173,3
Old174,Van,,Final,http://syriaca.org/place/791,Old174,,,,,,,,,,Region,Old174,,Old174,,Old174,,,,Wilmshurst Map,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old174,3
Old175,Great Zab river,,Final,,Old175,,,,,,,,,,River,Old175,#N/A,Old175,N 35° 59' 26'' E 43° 20' 39'',Old175,,,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old175,3
Old176,Ahvāz,,Final,,Old176,,,,,,,,,,Settlement,Old176,,Old176,N 31° 19' 8'' E 48° 41' 3'',Old176,,,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old176,3
Old177,Alqosh,,Final,http://syriaca.org/place/19,Old177,,,,,,,,,,Settlement,Old177,"36.735278,43.096389",Old177,,Old177,"36.735278,43.096389",,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old177,3
Old178,Amedia,,Final,,Old178,,,,,,,,,,Settlement,Old178,#N/A,Old178,"37° 05' 32"" N, 043° 29' 16"" E",Old178,"37.092137,43.487688",,http://geonames.nga.mil,-4379603,http://www.geonames.org/maps/google_37.092_43.488.html,,use the spelling Amedia,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old178,3
Old179,Ankawa,,Final,,Old179,,,,,,,,,,Settlement,Old179,#N/A,Old179,N 36° 13' 50'' E 43° 59' 39'',Old179,,,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old179,3
Old180,Araḏin,,Final,,Old180,,,,,,,,,,Settlement,Old180,#N/A,Old180,,Old180,"37.1097222,43.3175",,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old180,3
Old181,Arbel,,Final,http://syriaca.org/place/13,Old181,,,,,,,,,,Settlement,Old181,"36.191111,44.009167",Old181,,Old181,"36.191111,44.009167",,,,,Arbel is not listed as a primary or secondary spelling,use the spelling Arbel,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old181,3
Old182,Barṭelle,,Final,http://syriaca.org/place/260,Old182,,,,,,,,,,Settlement,Old182,,Old182,36° 21′ 8″ N 43° 22′ 47″ E,Old182,,,https://en.wikipedia.org/wiki/Bartella,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old182,3
Old183,Başkale,,Final,,Old183,,,,,,,,,,Settlement,Old183,#N/A,Old183,N 38° 3' 11'' E 44° 1' 17'',Old183,,,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old183,3
Old184,Baxʿa,,Final,,Old184,,,,,,,,,,Settlement,Old184,#N/A,Old184,,Old184,"33.885,36.5644",,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old184,3
Old185,Betanure,,Final,,Old185,,,,,,,,,,Settlement,Old185,#N/A,Old185,,Old185,"37.2008333,43.4683333",,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old185,3
Old186,Bədyal,,Final,,Old186,,,,,,,,,,Settlement,Old186,#N/A,Old186,,Old186,"36.9308333,44.1391667",,,,,,,modern?,Geoffrey Khan,Neo Syriac,Northern Mesopotamia,1800-2016,Old186,3
